Name,Size,Type,Align.,AC,HP,Speeds,STR,DEX,CON,INT,WIS,CHA,Sav. Throws,Skills,WRI,Senses,Languages,CR,Additional,Font,Additional Info,Author
"Devil, Spined",Small,Fiend (Devil),LE,15,22,"20, 40 fly",10,15,12,11,14,8,None,None,"Coldres, nonmagicalres, nonsilveredres, fireimmu, poisonimmu, poisonedimmu",Darkvision 120,"Infernal, telepathy 120",2.00,"Devil's Sight, Flyby, Limited Spines, Magic Resistance",Monster Manual,,Wizards of the Coast
Devourer,Large,Fiend,CE,16,178,30,20,12,20,13,10,16,None,None,"Coldres, fireres, lightningres, poisonimmu, poisonedimmu",Darkvision 120,"Abyssal, telepathy 120",13.00,None,Volo's Guide to Monsters,,Wizards of the Coast
"Dinosaur, Allosaurus",Large,Beast,U,13,51,60,19,13,17,2,12,5,None,Perception,None,Normal,None,2.00,Pounce,Monster Manual,,Wizards of the Coast
"Dinosaur, Ankylosaurus",Huge,Beast,U,15,68,30,19,11,15,2,12,5,None,None,None,Normal,None,3.00,None,Monster Manual,,Wizards of the Coast
"Dinosaur, Brontosaurus",Gargantuan,Beast,U,15,121,30,21,9,17,2,10,7,CON,None,None,Normal,None,5.00,None,Volo's Guide to Monsters,,Wizards of the Coast
"Dinosaur, Deinonychus",Medium,Beast,U,13,26,40,15,15,14,4,12,6,None,Perception,None,Normal,None,1.00,Pounce,Volo's Guide to Monsters,,Wizards of the Coast
"Dinosaur, Dimetrodon",Medium,Beast,U,12,19,"30, swim 20",14,10,15,2,10,5,None,Perception,None,Normal,None,0.25,None,Volo's Guide to Monsters,,Wizards of the Coast
"Dinosaur, Hadrosaurus",Large,Beast,U,11,19,40,15,10,13,2,10,5,None,Perception,None,Normal,None,0.25,None,Volo's Guide to Monsters,,Wizards of the Coast
"Dinosaur, Plesiosaurus",Large,Beast,U,13,68,"20, swim 40",18,15,16,2,12,5,None,"Perception, Stealth",None,Normal,None,2.00,Hold Breath,Monster Manual,,Wizards of the Coast
"Dinosaur, Pteranodon",Medium,Beast,U,13,13,"10, fly 60",12,15,10,2,9,5,None,Perception,None,Normal,None,0.25,Flyby,Monster Manual,,Wizards of the Coast
"Dinosaur, Quetzalcoatlus",Huge,Beast,U,13,30,"10, fly 80",15,13,13,2,10,5,None,Perception,None,Normal,None,2.00,"Dive Attack, FLyby",Volo's Guide to Monsters,,Wizards of the Coast
"Dinosaur, Stegosaurus",Huge,Beast,U,13,76,40,20,9,17,2,11,5,None,None,None,Normal,None,4.00,None,Volo's Guide to Monsters,,Wizards of the Coast
"Dinosaur, Triceratops",Huge,Beast,U,13,95,50,22,9,17,2,11,5,None,None,None,Normal,None,5.00,Trampling Charge,Monster Manual,,Wizards of the Coast
"Dinosaur, Tyrannosaurus Rex",Huge,Beast,U,13,136,50,25,10,19,2,12,9,None,Perception,None,Normal,None,8.00,None,Monster Manual,,Wizards of the Coast
"Dinosaur, Velociraptor",Tiny,Beast,U,13,10,30,6,14,13,4,12,6,None,Perception,None,Normal,None,0.25,Pack Tactics,Volo's Guide to Monsters,,Wizards of the Coast
Displacer Beast,Large,Monstrosity,LE,13,85,40,18,15,16,6,12,8,None,None,None,Darkvision 60,None,3.00,"Avoidance, Displacement",Monster Manual,,Wizards of the Coast
Doppelganger,Medium,Monstrosity,N,14,52,30,11,18,14,11,12,14,None,"Deception, Insight",Charmedimmu,Darkvision 60,Common,3.00,"Shapechanger, Ambusher, Surprise Attack",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Black, Adult",Huge,Dragon,CE,19,195,"40, 80 fly, swim 40",23,14,21,14,13,17,"DEX, CON, WIS, CHA","Perception, Stealth",Acidimmu,"Blindsight 60, darkvision 120","Common, Draconic",14.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Black, Ancient",Gargantuan,Dragon,CE,22,367,"40, 80 fly, swim 40",27,14,25,16,15,19,"DEX, CON, WIS, CHA","Perception, Stealth",Acidimmu,"Blindsight 60, darkvision 120","Common, Draconic",21.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Black, Wyrmling",Medium,Dragon,CE,17,33,"30, fly 60, 30 swim",15,14,13,10,11,13,"DEX, CON, WIS, CHA","Perception, Stealth",Acidimmu,"Blindsight 30, darkvision 120","Common, Draconic",2.00,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Black, Young",Large,Dragon,CE,18,127,"40, 80 fly, swim 40",19,14,17,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth",Acidimmu,"Blindsight 10, darkvision 60",Draconic,7.00,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Blue, Adult",Huge,Dragon,LE,19,225,"40, 40 burrow, 80 fly",25,10,23,16,15,19,"DEX, CON, WIS, CHA","Perception, Stealth",Lightningimmu,"Blindsight 60, darkvision 120","Common, Draconic",16.00,"Legendary, Legendary Resistance, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Blue, Ancient",Gargantuan,Dragon,LE,22,481,"40, 30 burrow, 80 fly",29,10,27,18,17,21,"DEX, CON, WIS, CHA","Perception, Stealth",Lightningimmu,"Blindsight 60, darkvision 120","Common, Draconic",23.00,"Legendary, Legendary Resistance, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Blue, Wyrmling",Medium,Dragon,LE,17,52,"30, 15 burrow, fly 60",17,10,15,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth",Lightningimmu,"Blindsight 30, darkvision 120","Common, Draconic",3.00,None,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Blue, Young",Large,Dragon,LE,18,152,"40, 20 burrow, 80 fly",21,10,19,14,13,17,"DEX, CON, WIS, CHA","Perception, Stealth",Lightningimmu,"Blindsight 10, darkvision 60",Draconic,9.00,None,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Green, Adult",Huge,Dragon,LE,19,207,"40, 80 fly, swim 40",23,12,21,18,15,17,"DEX, CON, WIS, CHA","Deception, Insight, Perception, Persuasion, Stealth","Poisonimmu, poisonedimmu","Blindsight 60, darkvision 120","Common, Draconic",15.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Green, Ancient",Gargantuan,Dragon,LE,21,385,"40, 80 fly, swim 40",27,12,25,20,17,19,"DEX, CON, WIS, CHA","Deception, Insight, Perception, Persuasion, Stealth","Poisonimmu, poisonedimmu","Blindsight 60, darkvision 120","Common, Draconic",22.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Green, Wyrmling",Medium,Dragon,LE,17,38,"30, fly 60, swim 30",15,12,13,14,11,13,"DEX, CON, WIS, CHA","Perception, Stealth","Poisonimmu, poisonedimmu","Blindsight 30, darkvision 120",Draconic,2.00,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Green, Young",Large,Dragon,LE,18,136,"40, fly 80, swim 40",19,12,17,16,13,15,"DEX, CON, WIS, CHA","Deception, Perception, Stealth","Poisonimmu, poisonedimmu","Blindsight 60, darkvision 120","Common, Draconic",8.00,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Red, Adult",Huge,Dragon,CE,19,256,"40, climb 40, fly 80",27,10,25,16,13,21,"DEX, CON, WIS, CHA","Perception, Stealth",Fireimmu,"Blindsight 60, darkvision 120","Common, Draconic",17.00,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Red, Ancient",Gargantuan,Dragon,CE,22,546,"40, climb 40, fly 80",30,10,29,18,15,23,"DEX, CON, WIS, CHA","Perception, Stealth",Fireimmu,"Blindsight 60, darkvision 120","Common, Draconic",24.00,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Red, Wyrmling",Medium,Dragon,CE,17,75,"40, climb 40, fly 80",19,10,17,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth",Fireimmu,"Blindsight 30, darkvision 120",Draconic,4.00,None,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, Red, Young",Large,Dragon,CE,18,178,"30, climb 30, fly 60",23,10,21,14,11,19,"DEX, CON, WIS, CHA","Perception, Stealth",Fireimmu,"Blindsight 10, darkvision 60","Common, Draconic",10.00,None,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, White, Adult",Huge,Dragon,CE,18,200,"40, burrow 30, fly 80,  swim 40",22,10,22,8,12,12,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 60, darkvision 120","Common, Draconic",13.00,"Ice Walk, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, White, Ancient",Gargantuan,Dragon,CE,20,333,"40, burrow 40, fly 80, swim 40",26,10,26,10,13,14,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 60, darkvision 120","Common, Draconic",20.00,"Ice Walk, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, White, Wyrmling",Medium,Dragon,CE,16,32,"30, burrow 15, fly 60, swim 30",14,10,14,5,10,11,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 10, darkvision 60",Draconic,2.00,Ice Walk,Monster Manual,,Wizards of the Coast
"Dragon, Chromatic, White, Young",Large,Dragon,CE,14,133,"40, burrow 20, fly 80, swim 40",18,10,18,6,11,12,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 30, darkvision 120","Common, Draconic",6.00,Ice Walk,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Brass, Adult",Huge,Dragon,CG,18,172,"40, burrow 30, fly 80",23,10,21,14,13,17,"DEX, CON, WIS, CHA","History, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, darkvision 120,","Common, Draconic",13.00,"Legendary, Legendary Resistance, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Brass, Ancient",Gargantuan,Dragon,CG,20,297,"40, burrow 40, fly 80",27,10,25,16,15,19,"DEX, CON, WIS, CHA","History, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, darkvision 120,","Common, Draconic",20.00,"Legendary, Legendary Resistance, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Brass, Wyrmling",Medium,Dragon,CG,16,16,"30, burrow 15, fly 60",15,10,13,10,11,13,"DEX, CON, WIS, CHA","Perception, Stealth",Fireimmu,"Blindsight 10, Darkvision 60",Draconic,1.00,None,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Brass, Young",Large,Dragon,CG,17,110,"40, burrow 20, fly 80",19,10,17,12,11,15,"DEX, CON, WIS, CHA","Perception, Persuasion, Stealth",Fireimmu,"Blindsight 30, Darkvision 120","Common, Draconic",6.00,None,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Bronze, Adult",Huge,Dragon,LG,19,212,"40, 80 fly, swim 40",25,10,23,16,15,19,"DEX, CON, WIS, CHA","Insight, Perception, Stealth",Lightningimmu,"Blindsight 60, darkvision 120","Common, Draconic",15.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Bronze, Ancient",Gargantuan,Dragon,LG,22,444,"40, fly 80, swim 40",29,10,27,18,17,21,"DEX, CON, WIS, CHA","Insight, Perception, Stealth",Lightningimmu,"Blindsight 60, darkvision 120","Common, Draconic",22.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Bronze, Wyrmling",Medium,Dragon,LG,17,32,"30, fly 60, swim 30",17,10,15,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth",Lightningimmu,"Blindsight 10, darkvision 60",Draconic,2.00,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Bronze, Young",Large,Dragon,LG,18,142,"40, fly 80, swim 40",21,10,19,14,13,17,"DEX, CON, WIS, CHA","Insight, Perception, Stealth",Lightningimmu,"Blindsight 30, Darkvision 120","Common, Draconic",8.00,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Copper, Adult",Huge,Dragon,CG,18,184,"40, climb 40, fly 80",23,12,21,18,15,17,"DEX, CON, WIS, CHA","Deception, Perception, Stealth",Acidimmu,"Blindsight 60, darkvision 120","Common, Draconic",14.00,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Copper, Ancient",Gargantuan,Dragon,CG,21,350,"40, climb 40, fly 80",27,12,25,20,17,19,"DEX, CON, WIS, CHA","Deception, Perception, Stealth",Acidimmu,"Blindsight 60, darkvision 120","Common, Draconic",21.00,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Copper, Wyrmling",Medium,Dragon,CG,16,22,"30, climb 30, fly 60",15,12,13,14,11,13,"DEX, CON, WIS, CHA","Perception, Stealth",Acidimmu,"Blindsight 10, darkvision 60",Draconic,1.00,None,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Copper, Young",Large,Dragon,CG,17,119,"40, climb 40, fly 80",19,12,17,16,13,15,"DEX, CON, WIS, CHA","Deception, Perception, Stealth",Acidimmu,"Blindsight 30, darkvision 120","Common, Draconic",7.00,None,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Gold, Adult",Huge,Dragon,LG,19,256,"40, fly 80, swim 40",27,14,25,16,15,24,"DEX, CON, WIS, CHA","Insight, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, darkvision 120","Common, Draconic",17.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Gold, Ancient",Gargantuan,Dragon,LG,22,546,"40, fly 80, swim 40",30,14,29,18,17,28,"DEX, CON, WIS, CHA","Insight, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 60, darkvision 120","Common, Draconic",24.00,"Amphibious, Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Gold, Wyrmling",Medium,Dragon,LG,17,60,"30, fly 60, swim 30",19,14,17,14,11,16,"DEX, CON, WIS, CHA","Perception, Stealth",Fireimmu,"Blindsight 10, darkvision 60",Draconic,3.00,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Gold, Young",Large,Dragon,LG,18,178,"40, fly 80, swim 40",23,14,21,16,13,20,"DEX, CON, WIS, CHA","Insight, Perception, Persuasion, Stealth",Fireimmu,"Blindsight 30, darkvision 120","Common, Draconic",10.00,Amphibious,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Silver, Adult",Huge,Dragon,LG,19,243,"40, fly 80",27,10,25,16,13,21,"DEX, CON, WIS, CHA","Arcana, History, Perception, Stealth",Coldimmu,"Blindsight 60, darkvision 120","Common, Draconic",16.00,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Silver, Ancient",Gargantuan,Dragon,LG,22,487,"40, fly 80",30,10,29,18,15,23,"DEX, CON, WIS, CHA","Arcana, History, Perception, Stealth",Coldimmu,"Blindsight 60, darkvision 120","Common, Draconic",23.00,"Legendary Resistance, Legendary, Lair",Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Silver, Wyrmling",Medium,Dragon,LG,17,45,"30, fly 60",19,10,17,12,11,15,"DEX, CON, WIS, CHA","Perception, Stealth",Coldimmu,"Blindsight 10, darkvision 60",Draconic,2.00,None,Monster Manual,,Wizards of the Coast
"Dragon, Metallic, Silver, Young",Large,Dragon,LG,18,168,"40, fly 80",23,10,21,14,11,19,"DEX, CON, WIS, CHA","Arcana, History, Perception, Stealth",Coldimmu,"Blindsight 30, darkvision 120","Common, Draconic",9.00,None,Monster Manual,,Wizards of the Coast
"Dragon, Turtle",Gargantuan,Dragon,N,20,341,"20, swim 40",25,10,20,10,12,12,"DEX, CON, WIS",None,Fireres,Darkvision 120,"Aquan, Draconic",17.00,Amphibious,Monster Manual,,Wizards of the Coast
Dragonclaw,Medium,Humanoid (Human),NE,14,16,30,9,16,13,11,10,12,WIS,"Deception, Stealth",None,Normal,"Common, Draconic",1.00,"Dragon Fanatic, Fanatical Advantage, Pack Tactics",Hoard of the Dragon Queen,,Wizards of the Coast
Dragonfang,Medium,Humanoid (Human),NE,15,78,30,11,16,14,12,12,14,WIS,"Deception, Stealth","Acidres, coldres, fireres, lightningres, poisonres",Normal,"Common, Draconic, Infernal",5.00,"Dragon Fanatic, Fanatic Advantage, Limited Flight, Pack Tactics",Rise of Tiamat,,Wizards of the Coast
Dragonsoul,Medium,Humanoid (Human),NE,16,110,30,11,18,14,13,12,16,WIS,"Deception, Stealth","Acidres, coldres, fireres, lightningres, poisonres",Normal,"Common, Draconic, Infernal",7.00,"Dragon Fanatic, Fanatic Advantage, Limited Flight, Pack Tactics",Rise of Tiamat,,Wizards of the Coast
Dragonwing,Medium,Humanoid (Human),NE,14,32,30,9,16,13,11,10,12,WIS,"Deception, Stealth",None,Normal,"Common, Draconic",2.00,"Dragon Fanatic, Fanatical Advantage, Pack Tactics",Hoard of the Dragon Queen,,Wizards of the Coast
Dread Warrior,Medium,Undead,NE,18,37,30,15,11,16,10,12,10,WIS,"Athletics, Perception","Poisonimmu, exhaustionimmu, poisonedimmu",Darkvision 60,Common,1.00,Undead Fortitude,Tales from the Yawning Portal,,Wizards of the Coast
Drider,Large,Monstrosity,CE,19,123,"30, climb 30",16,16,18,13,14,12,None,"Perception, Stealth",None,Darkvision 120,"Elvish, Undercommon",6.00,"Fey Ancestry, Innate Spellcasting, Spider Climb, Sunlight Sensitivity, Web Walker",Monster Manual,,Wizards of the Coast
Drow,Medium,Humanoid,NE,15,13,30,10,14,10,11,11,12,None,"Perception, Stealth",None,Darkvision 120,"Elvish, Undercommon",0.25,"Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Drow Arachnomancer,Medium,Humanoid (Elf),CE,15,162,"30, climb 30",11,17,14,19,14,16,"CON, INT, CHA","Arcana, Nature, Perception, Stealth",Poisonres,"Blindsight 10, darkvision 120","Elvish, Undercommon, spiders",13.00,"Change Shape, Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Spider Climb, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Drow Elite Warrior,Medium,Humanoid,NE,18,71,30,13,18,14,11,13,12,"DEX, CON, WIS","Perception, Stealth",None,Darkvision 120,"Elvish, Undercommon",5.00,"Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Drow Favored Consort,Medium,Humanoid (Elf),NE,15,225,30,15,20,16,18,15,18,"DEX, CON, CHA","Acrobatics, Athletics, Perception, Stealth",None,Darkvision 120,"Elvish, Undercommon",18.00,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity, War Magic",Mordenkainen's Tome of Foes,,Wizards of the Coast
Drow House Captain,Medium,Humanoid (Elf),NE,16,162,30,14,19,15,12,14,13,"DEX, CON, WIS","Perception, Stealth",None,Darkvision 120,"Elvish, Undercommon",9.00,"Battle Command, Fey Ancestry, Innate Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Drow Inquisitor,Medium,Humanoid (Elf),NE,16,143,30,11,15,14,16,21,20,"CON, WIS, CHA","Insight, Perception, Religion, Stealth",Frightenedimmu,Darkvision 120,"Elivhs, Undercommon",14.00,"Discern Lie, Fey Ancestry, Innate Spellcasting, Magic Resistance, Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Drow Mage,Medium,Humanoid,NE,12,45,30,9,14,10,17,13,12,None,"Arcana, Deception, Perception, Stealth",None,Darkvision 120,"Elvish, Undercommon",7.00,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Drow Matron Mother,Medium,Humanoid (Elf),NE,17,262,30,12,18,16,17,21,22,"CON, WIS, CHA","Insight, Perception, Religion, Stealth","Charmedimmu, frightenedimmu, poisonedimmu",Darkvision 120,"Elvish, Undercommon",20.00,"Fey Ancestry, Innate Spellcasting, Lolth's Fickle Favor, Magic Resistance, Normal Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Drow Priestess of Lolth,Medium,Humanoid,NE,16,71,30,10,14,12,13,17,18,"CON, WIS, CHA","Insight, Perception, Religion, Stealth",None,Darkvision 120,"Elvish, Undercommon",8.00,"Fey Ancestry, Innate Spellcasting, Normal Spellcasting, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Drow Shadowblade,Medium,Humanoid (Elf),NE,17,150,30,14,21,16,12,14,13,"DEX, CON, WIS","Perception, Stealth",None,Darkvision 120,"Elvish, Undercommon",11.00,"Fey Ancestry, Innate Spellcasting, Shadow Step, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Dryad,Medium,Fey,N,11,22,30,1,12,11,14,15,18,None,"Perception, Stealth",None,Darkvision 60,"Elvish, Sylvan",1.00,"Innate Spellcasting, Magic Resistance, Speak with Beasts, Speak with Plants, Tree Stride",Monster Manual,,Wizards of the Coast
Duergar,Medium,Humanoid,LE,16,26,25,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon",1.00,"Duergar Resilience, Sunlight Sensitivity",Monster Manual,,Wizards of the Coast
Duergar Darkhaft,Medium,Humanoid (Dwarf),LE,16,26,25,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2.00,"Duergar Resilience, Sunlight Sensitivity, Normal Spellcasting (Psionics)",Out of the Abyss,,Wizards of the Coast
Duergar Despot,Medium,Humanoid (Dwarf),LE,21,119,25,20,5,19,15,14,13,"CON, WIS",None,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, poisonedimmu",Darkvision 120,"Dwarvish, Undercommon",12.00,"Innate Spellcasting, Magic Resistance, Psychic Engine, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Hammerer,Medium,Humanoid (Dwarf),LE,17,33,20,17,7,12,5,5,5,None,None,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Dwarvish,2.00,"Engine of Pain, Siege Monster",Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Kavalrachni,Medium,Humanoid (Dwarf),LE,16,26,25,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2.00,"Cavalry Training, Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Keeper of the Flame,Medium,Humanoid (Dwarf),LE,16,26,25,14,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2.00,"Duergar Resilience, Innate Spellcasting (Psionics), Normal Spellcasting",Out of the Abyss,,Wizards of the Coast
Duergar Mind Master,Medium,Humanoid (Dwarf),LE,14,39,25,11,17,14,15,10,12,WIS,"Perception, Stealth",Poisonres,"Darkvision 120, truesight 30","Dwarvish, Undercommon",2.00,"Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Screamer,Medium,Construct,LE,15,38,20,18,7,12,5,5,5,None,None,"Poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Dwarvish,3.00,Engine of Pain,Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Soulblade,Medium,Humanoid (Dwarf),LE,14,18,25,11,16,10,11,10,12,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon",1.00,"Duergar Resilience, Create Soulblade, Innate Spellcasting, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Spy,Medium,Humanoid (Dwarf),LE,15,33,25,10,16,12,12,10,13,None,"Deception, Insight, Investigation, Perception, Persuasion, Sleight of Hand, Stealth",Poisonres,Darkvision 120,"Dwarvish, Undercommon",2.00,"Cunning Action, Duergar Resilience, Sneak Attack, Sunlight Sensitivity",Tales from the Yawning Portal,,Wizards of the Coast
Duergar Stone Guard,Medium,Humanoid (Dwarf),LE,18,39,25,18,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2.00,"Duergar Resilience, Phalanx Formation, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Warlord,Medium,Humanoid (Dwarf),LE,20,75,25,18,11,17,12,12,14,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon",6.00,"Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Duergar Xarrorn,Medium,Humanoid (Dwarf),LE,18,26,25,16,11,14,11,10,9,None,None,Poisonres,Darkvision 120,"Dwarvish, Undercommon",2.00,"Duergar Resilience, Sunlight Sensitivity",Mordenkainen's Tome of Foes,,Wizards of the Coast
Eblis,Large,Monstrosity,NE,13,26,"30, fly 40",11,16,12,12,14,11,None,None,None,Normal,"Auran, Common",1.00,Innate Spellcasting,Tomb of Annihilation,,Wizards of the Coast
Eidolon,Medium,Undead,ANY,9,63,fly 40,7,8,9,14,19,16,WIS,Perception,"Acidres, fireres, lightningres, thunderres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, grappledimmu, paralyzedimmu, petrifiedimmu, poisonedimmu, proneimmu, restrainedimmu",Darkvision 60,Any,12.00,"Incorporeal Movement, Sacred Animation, Turn Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Eidolon, Sacred Statue",Large,Construct,ANY,19,95,25,19,8,19,14,19,16,WIS,None,"Acidres, fireres, lightningres, nonmagicalres, coldimmu, necroticimmu, poisonimmu, charmedimmu, exhaustionimmu, frightenedimmu, paralyzedimmu, petrifiedimmu, poisonedimmu",Darkvision 60,Any,12.00,"False Appearance, Ghostly Inhabitant, Inert",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Eladrin, Autumn",Medium,Fey,CN,19,127,30,12,16,16,14,17,18,None,"Insight, Medicine",Nonmagicalres,Darkvision 60,"Common, Elvish, Sylvan",10.00,"Enchanting Presence, Fey Step, Innate Spellcasting, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Eladrin, Spring",Medium,Fey,CN,19,127,30,14,16,16,18,11,18,None,"Deception, Persuasion",Nonmagicalres,Darkvision 60,"Common, Elvish, Sylvan",10.00,"Fey Step, Innate Spellcasting, Joyful Presence, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Eladrin, Summer",Medium,Fey,CN,19,127,50,19,21,16,14,12,18,None,"Athletics, Intimidation",Nonmagicalres,Darkvision 60,"Common, Elvish, Sylvan",10.00,"Fearsome Presence, Fey Step, Magic Resistance",Mordenkainen's Tome of Foes,,Wizards of the Coast
"Eladrin, Winter",Medium,Fey,CN,19,127,30,11,10,16,18,17,13,None,None,"Coldres, nonmagicalres",Darkvision 60,"Common, Elvish, Sylvan",10.00,"Fey Step, Innate Spellcasting, Magic Resistance, Sorrowful Presence",Mordenkainen's Tome of Foes,,Wizards of the Coast
